table,we_read,row_count,saldo_col,total_usd,total_mmusd,all_cols,file,period
ATRASOS,False,9648,Monto en M de Origem,158858163793.73764,158858.2,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Fecha de Servicio; TIPO MORA; Monto en M de Origem; dolares,basesigade 2007-06-30.mdb,06/2007
DEUDA NO PRESENTADA AL CANJE NO VENCIDA,True,44,Saldo en Dólares,8555395455.427808,8555.4,Tipo de Deuda; Nombre de la Operación; Fecha de Firma; Moneda del Prestamo; Tipo de Tasa; Saldo en Moneda del Prestamo; Saldo en Dólares,basesigade 2007-06-30.mdb,06/2007
DEUDA NO PRESENTADA AL CANJE VENCIDA,True,5163,dolares,18469358475.026165,18469.4,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Fecha de Servicio; TIPO MORA; dolares,basesigade 2007-06-30.mdb,06/2007
SALDOS,True,743,saldo en dolares,142085331847.32562,142085.3,Tipo de Deuda; Nombre de la Operacion; Fecha de Firma; Tipo de Tasa; Moneda del prestamo; Saldo en la Moneda del Prestamo; saldo en dolares,basesigade 2007-06-30.mdb,06/2007
TIPO DE CAMBIO,False,16,,,,Fecha; Moneda; Tipo de Cambio,basesigade 2007-06-30.mdb,06/2007
VENCIMIENTOS DE LA DEUDA A REESTRUCTURAR,True,1153,Principal en dolares,1569144643.5638213,1569.1,Tipo de Deuda; Nombre de la Operación; Moneda; Tasa; Fecha de Servicio; Día; Mes; Año; Principal en Moneda del Prestamo; Interes en Moneda del Prestamo; Principal en dolares; Interes en dolares,basesigade 2007-06-30.mdb,06/2007
VENCIMIENTOS DE LA DEUDA EN SITUACION DE PAGO NORMAL,True,18746,Principal en dolares,131960791680.24962,131960.8,Tipo de Deuda; Nombre de la Operación; Moneda; Tasa; Fecha de Servicio; Día; Mes; Año; Principal en Moneda del Prestamo; Interes en Moneda del Prestamo; Principal en dolares; Interes en dolares,basesigade 2007-06-30.mdb,06/2007
ATRASOS,False,9789,Monto en M de Origem,159589632150.4106,159589.6,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Fecha de Servicio; TIPO MORA; Monto en M de Origem; dolares,basesigade 2007-09-30.mdb,09/2007
DEUDA NO PRESENTADA AL CANJE NO VENCIDA,True,40,Saldo en Dólares,8279367558.929896,8279.4,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Tipo de Tasa; Saldo en Moneda del Prestamo; Fecha de Firma; Saldo en Dólares,basesigade 2007-09-30.mdb,09/2007
DEUDA NO PRESENTADA LA CANJE VENCIDA,True,5225,dolares,19813645862.549446,19813.6,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Fecha de Servicio; TIPO MORA; dolares,basesigade 2007-09-30.mdb,09/2007
SALDOS,True,730,saldo en dolares,140335674782.08243,140335.7,Tipo de Deuda; Nombre de la Operacion; Tipo de Tasa; Moneda del prestamo; Saldo en la Moneda del Prestamo; Fecha de Firma; saldo en dolares,basesigade 2007-09-30.mdb,09/2007
TIPO DE CAMBIO,False,16,,,,FECHA; MONEDA; TIPO DE CAMBO,basesigade 2007-09-30.mdb,09/2007
VENCIMIENTOS DE LA DEUDA A REESTRUCTURAR,True,1101,Principal en dolares,1539997352.0290692,1540.0,Tipo de Deuda; Nombre de la Operación; Día; Año; Mes; TAsa; Moneda; Fecha de Servicio; Principal en Moneda del Prestamo; Interes en Moneda del Prestamo; Principal en dolares; Interes en dolares,basesigade 2007-09-30.mdb,09/2007
VENCIMIENTOS DE LA DEUDA EN SITUACION DE PAGO NORMAL,True,18305,Principal en dolares,130516309779.4653,130516.3,Tipo de Deuda; Nombre de la Operación; Día; Año; Mes; TAsa; Moneda; Fecha de Servicio; Principal en Moneda del Prestamo; Interes en Moneda del Prestamo; Principal en dolares; Interes en dolares,basesigade 2007-09-30.mdb,09/2007
ATRASOS,False,10017,Monto en M de Origem,167492084724.76053,167492.1,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Fecha de Servicio; TIPO MORA; Monto en M de Origem; dolares,basesigade 2007-12-31.mdb,12/2007
DEUDA NO PRESENTADA AL CANJE NO VENCIDA,True,41,Saldo en Dólares,8318317407.137924,8318.3,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Tipo de Tasa; Saldo en Moneda del Prestamo; Fecha de Firma; Saldo en Dólares,basesigade 2007-12-31.mdb,12/2007
DEUDA NO PRESENTADA AL CANJE VENCIDA,True,5263,dolares,20538689797.35046,20538.7,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Fecha de Servicio; TIPO MORA; dolares,basesigade 2007-12-31.mdb,12/2007
SALDOS,True,742,saldo en dolares,147557806334.38297,147557.8,Tipo de Deuda; Nombre de la Operacion; Tipo de Tasa; Moneda del prestamo; Saldo en la Moneda del Prestamo; Fecha de Firma; saldo en dolares,basesigade 2007-12-31.mdb,12/2007
TIPO DE CAMBIO,False,16,,,,FECHA; MONEDA; TIPO DE CAMBIO,basesigade 2007-12-31.mdb,12/2007
VENCIMIENTOS DE LA DEUDA A REESTRUCTURAR,True,1007,Principal en dolares,1262309213.9455562,1262.3,Tipo de Deuda; Nombre de la Operación; Día; Año; Mes; TAsa; Moneda; Fecha de Servicio; Principal en Moneda del Prestamo; Interes en Moneda del Prestamo; Principal en dolares; Interes en dolares,basesigade 2007-12-31.mdb,12/2007
VENCIMIENTOS DE LA DEUDA EN SITUACION DE PAGO NORMAL,True,17723,Principal en dolares,137977179839.91214,137977.2,Tipo de Deuda; Nombre de la Operación; Día; Año; Mes; TAsa; Moneda; Fecha de Servicio; Principal en Moneda del Prestamo; Interes en Moneda del Prestamo; Principal en dolares; Interes en dolares,basesigade 2007-12-31.mdb,12/2007
ATRASOS,False,9929,Monto en M de Origem,168692106366.84897,168692.1,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Fecha de Servicio; TIPO MORA; Monto en M de Origem; dolares,basesigade 2008-03-31.mdb,03/2008
DEUDA NO PRESENTADA AL CANJE NO VENCIDA,True,36,Saldo en Dólares,7623591271.894732,7623.6,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Tipo de Tasa; Saldo en Moneda del Prestamo; Fecha de Firma; Saldo en Dólares,basesigade 2008-03-31.mdb,03/2008
DEUDA NO PRESENTADA AL CANJE VENCIDA,True,5109,dolares,22711154293.77673,22711.2,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Fecha de Servicio; TIPO MORA; dolares,basesigade 2008-03-31.mdb,03/2008
SALDOS,True,732,saldo en dolares,146184605132.14435,146184.6,Tipo de Deuda; Nombre de la Operacion; Tipo de Tasa; Moneda del prestamo; Saldo en la Moneda del Prestamo; Fecha de Firma; saldo en dolares,basesigade 2008-03-31.mdb,03/2008
Tipo de cambio,False,16,,,,Fecha; Moneda; Tipo de Cambio; Descripción,basesigade 2008-03-31.mdb,03/2008
VENCIMIENTOS DE LA DEUDA A REESTRUCTURAR,True,967,Principal en dolares,1227946993.3565862,1227.9,Tipo de Deuda; Nombre de la Operación; Día; Año; Mes; TAsa; Moneda; Fecha de Servicio; Principal en Moneda del Prestamo; Interes en Moneda del Prestamo; Principal en dolares; Interes en dolares,basesigade 2008-03-31.mdb,03/2008
VENCIMIENTOS DE LA DEUDA EN SITUACION DE PAGO NORMAL,True,17264,Principal en dolares,137333066890.66844,137333.1,Tipo de Deuda; Nombre de la Operación; Día; Año; Mes; Tasa; Moneda; Fecha de Servicio; Principal en Moneda del Prestamo; Interes en Moneda del Prestamo; Principal en dolares; Interes en dolares,basesigade 2008-03-31.mdb,03/2008
ATRASOS,False,10122,Monto en Moneda del Prestamo,176763758901.6268,176763.8,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Fecha de Servicio; TIPO MORA; Monto en Moneda del Prestamo; dolares,basesigade 2008-06-30.mdb,06/2008
DEUDA NO PRESENTADA AL CANJE NO VENCIDA,True,35,Saldo en Dólares,7050253340.488577,7050.3,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Tipo de Tasa; Saldo en Moneda del Prestamo; Fecha de Firma; Saldo en Dólares,basesigade 2008-06-30.mdb,06/2008
DEUDA NO PRESENTADA AL CANJE VENCIDA,True,5148,Monto en Moneda del Prestamo,35400086681.60993,35400.1,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Fecha de Servicio; TIPO MORA; Monto en Moneda del Prestamo; dolares,basesigade 2008-06-30.mdb,06/2008
SALDOS,True,700,saldo en dolares,150743989273.12607,150744.0,Tipo de Deuda; Nombre de la Operacion; Tipo de Tasa; Moneda del prestamo; Fecha de Firma; Saldo en la Moneda del Prestamo; saldo en dolares,basesigade 2008-06-30.mdb,06/2008
TIPO DE CAMBIO,False,16,,,,Fecha; Moneda; Tipo de Cambio,basesigade 2008-06-30.mdb,06/2008
VENCIMIENTOS DE LA DEUDA A REESTRUCTURAR,True,873,Principal en dolares,914454959.4063473,914.5,Tipo de Deuda; Nombre de la Operación; Día; Año; Mes; Tasa; Moneda; Fecha de Servicio; Principal en Moneda del Prestamo; Interes en Moneda del Prestamo; Principal en dolares; Interes en dolares,basesigade 2008-06-30.mdb,06/2008
VENCIMIENTOS DE LA DEUDA EN SITUACION DE PAGO NORMAL,True,16911,Principal en dolares,142779280999.71005,142779.3,Tipo de Deuda; Nombre de la Operación; Día; Año; Mes; Tasa; Moneda; Fecha de Servicio; Principal en Moneda del Prestamo; Interes en Moneda del Prestamo; Principal en dolares; Interes en dolares,basesigade 2008-06-30.mdb,06/2008
ATRASOS,False,10249,Monto en Moneda del Prestamo,177984132306.99557,177984.1,Tipo de Deuda; Nombre de la Operación; Descripcion; Moneda del Prestamo; Fecha de Servicio; TIPO MORA; Monto en Moneda del Prestamo; dolares,basesigade 2008-09-30.mdb,09/2008
DEUDA NO PRESENTADA AL CANJE NO VENCIDA,True,34,Saldo en Dólares,6185922675.784323,6185.9,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Tipo de Tasa; Saldo en Moneda del Prestamo; Fecha de Firma; Saldo en Dólares,basesigade 2008-09-30.mdb,09/2008
DEUDA NO PRESENTADA AL CANJE VENCIDA,True,5188,Monto en Moneda del Prestamo,36241700237.709915,36241.7,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Fecha de Servicio; TIPO MORA; Monto en Moneda del Prestamo; dolares,basesigade 2008-09-30.mdb,09/2008
SALDOS,True,702,saldo en dolares,146056459371.39096,146056.5,Tipo de Deuda; Nombre de la Operacion; Tipo de Tasa; Moneda del prestamo; Fecha de Firma; Saldo en la Moneda del Prestamo; saldo en dolares,basesigade 2008-09-30.mdb,09/2008
TIPO DE CAMBIO,False,16,,,,Fecha; Moneda; Tipo de Cambio,basesigade 2008-09-30.mdb,09/2008
VENCIMIENTOS DE LA DEUDA A REESTRUCTURAR,True,836,Principal en dolares,855128036.1552666,855.1,Tipo de Deuda; Nombre de la Operación; Día; Año; Mes; Tasa; Moneda; Fecha de Servicio; Principal en Moneda del Prestamo; Interes en Moneda del Prestamo; Principal en dolares; Interes en dolares,basesigade 2008-09-30.mdb,09/2008
VENCIMIENTOS DE LA DEUDA EN SITUACION DE PAGO NORMAL,True,16640,Principal en dolares,139015408668.44122,139015.4,Tipo de Deuda; Nombre de la Operación; Día; Año; Mes; Tasa; Moneda; Fecha de Servicio; Principal en Moneda del Prestamo; Interes en Moneda del Prestamo; Principal en dolares; Interes en dolares,basesigade 2008-09-30.mdb,09/2008
ATRASOS,False,10439,Monto en Moneda del Prestamo,184089333867.49274,184089.3,Tipo de Deuda; Nombre de la Operación; Descripcion; Moneda del Prestamo; Fecha de Servicio; TIPO MORA; Monto en Moneda del Prestamo; dolares,basesigade 2008-12-30.mdb,12/2008
DEUDA NO PRESENTADA AL CANJE NO VENCIDA,True,148,Saldo en Dólares,6013752177.4396925,6013.8,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Tipo de Tasa; Saldo en Moneda del Prestamo; Fecha de Firma; Saldo en Dólares,basesigade 2008-12-30.mdb,12/2008
DEUDA NO PRESENTADA AL CANJE VENCIDA,True,5228,Monto en Moneda del Prestamo,36583146941.11486,36583.1,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Fecha de Servicio; TIPO MORA; Monto en Moneda del Prestamo; dolares,basesigade 2008-12-30.mdb,12/2008
SALDOS,True,703,saldo en dolares,145649714764.23892,145649.7,Tipo de Deuda; Nombre de la Operacion; Tipo de Tasa; Moneda del prestamo; Fecha de Firma; Saldo en la Moneda del Prestamo; saldo en dolares,basesigade 2008-12-30.mdb,12/2008
TIPO DE CAMBIO,False,16,,,,D_EFF; Moneda; RATE,basesigade 2008-12-30.mdb,12/2008
VENCIMIENTOS DE LA DEUDA A REESTRUCTURAR,True,760,Principal en dolares,589938442.50161,589.9,Tipo de Deuda; Nombre de la Operación; Día; Año; Mes; Tasa; Moneda; Fecha de Servicio; Principal en Moneda del Prestamo; Interes en Moneda del Prestamo; Principal en dolares; Interes en dolares,basesigade 2008-12-30.mdb,12/2008
VENCIMIENTOS DE LA DEUDA EN SITUACION DE PAGO NORMAL,True,16300,Principal en dolares,139046024117.19385,139046.0,Tipo de Deuda; Nombre de la Operación; Día; Año; Mes; Tasa; Moneda; Fecha de Servicio; Principal en Moneda del Prestamo; Interes en Moneda del Prestamo; Principal en dolares; Interes en dolares,basesigade 2008-12-30.mdb,12/2008
Atrasos,False,65533,Monto en Moneda del Prestamo,186266718835.65546,186266.7,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Descripcion; Fecha de Servicio; TIPO MORA; Monto en Moneda del Prestamo; dolares,basesigade 2009-06-30.mdb,06/2009
Deuda no Presentada al Canje no Vencida,True,148,Saldo en Dólares,5226187395.159713,5226.2,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Descripcion; Tipo de Tasa; Saldo en Moneda del Prestamo; Fecha de Firma; Saldo en Dólares,basesigade 2009-06-30.mdb,06/2009
Deuda no Presentada al Canje Vencida,True,5299,Monto en Moneda del Prestamo,37518823697.07477,37518.8,Tipo de Deuda; Nombre de la Operación; Fecha de Servicio; Moneda del Tramo; Descripcion; TIPO MORA; Monto en Moneda del Prestamo; dolares,basesigade 2009-06-30.mdb,06/2009
Saldos,True,691,saldo en dolares,139664105712.9279,139664.1,Tipo de Deuda; Nombre de la Operacion; Tipo de Tasa; Moneda del Prestamo; Descripcion; Fecha de Firma; Saldo en Moneda de Origen; saldo en dolares,basesigade 2009-06-30.mdb,06/2009
Tipo de Cambio,False,16,,,,Fecha; Moneda; Descripcion; Tipo de Cambio,basesigade 2009-06-30.mdb,06/2009
Vencimientos de la Deuda a Reestructurar,True,702,Principal en dolares,529604286.77247596,529.6,Tipo de Deuda; Nombre de la Operación; Día; Año; Mes; Tasa; Moneda de Origen; Descripcion; Fecha de Servicio; Principal en Moneda del Prestamo; Interes en Moneda del Prestamo; Principal en dolares; Interes en dolares,basesigade 2009-06-30.mdb,06/2009
Vencimientos de la Deuda en Situación de Pago Normal,True,16108,Principal en dolares,133908314016.09323,133908.3,Tipo de Deuda; Nombre de la Operación; Día; Año; Mes; Tasa; Moneda de Origen; Descripcion; Fecha de Servicio; Principal en Moneda del Prestamo; Interes en Moneda del Prestamo; Principal en dolares; Interes en dolares,basesigade 2009-06-30.mdb,06/2009
Atrasos,False,10702,Monto en Moneda de Origen,189329756263.71466,189329.8,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Descripcion; Fecha de Servicio; TIPO MORA; Monto en Moneda de Origen; dolares,basesigade 2009-09-30.mdb,09/2009
Deuda no Presentada al Canje no Vencida,True,148,Saldo en Dólares,5271925019.11594,5271.9,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Descripcion; Tipo de Tasa; Saldo en Moneda del Prestamo; Fecha de Firma; Saldo en Dólares,basesigade 2009-09-30.mdb,09/2009
Deuda no Presentada al Canje Vencida,True,5338,Monto en Moneda del Prestamo,40268745133.59477,40268.7,Tipo de Deuda; Nombre de la Operación; Fecha de Servicio; Moneda del Tramo; Descripcion; TIPO MORA; Monto en Moneda del Prestamo; dolares,basesigade 2009-09-30.mdb,09/2009
Saldos,True,792,saldo en dolares,140517034143.05273,140517.0,Tipo de Deuda; Nombre de la Operacion; Tipo de Tasa; Moneda del Prestamo; Descripcion; Fecha de Firma; Saldo en Moneda de Origen; saldo en dolares,basesigade 2009-09-30.mdb,09/2009
Tipo de Cambio,False,16,,,,Fecha; Moneda; Tipo de Cambio; Descripcion,basesigade 2009-09-30.mdb,09/2009
Vencimientos de la Deuda a Reestructurar,True,665,Principal en dolares,512082892.0699325,512.1,Tipo de Deuda; Nombre de la Operación; Día; Año; Mes; Tasa; Moneda de Origen; Descripcion; Fecha de Servicio; Principal en Moneda del Prestamo; Interes en Moneda del Prestamo; Principal en dolares; Interes en dolares,basesigade 2009-09-30.mdb,09/2009
Vencimientos de la Deuda en Situación de Pago Normal,True,17921,Principal en dolares,134733026201.67818,134733.0,Tipo de Deuda; Nombre de la Operación; Día; Año; Mes; Tasa; Moneda de Origen; Descripcion; Fecha de Servicio; Principal en Moneda del Prestamo; Interes en Moneda del Prestamo; Principal en dolares; Interes en dolares,basesigade 2009-09-30.mdb,09/2009
Atrasos,False,10747,Monto en M de Origen,190609260674.6633,190609.3,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Descripcion; Fecha de Servicio; TIPO MORA; Monto en M de Origen; dolares,basesigade 2009-12-31.mdb,12/2009
Deuda no Presentada al Canje no Vencida,True,149,SumaDesaldo en dolares,4762429242.623854,4762.4,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Descripcion; Tipo de Tasa; Fecha de Firma; Saldo en Moneda del Prestamo; SumaDesaldo en dolares,basesigade 2009-12-31.mdb,12/2009
Deuda no Presentada al Canje Vencida,True,4245,Saldo en Dólares,25045619345.254387,25045.6,Tipo de Deuda; Nombre de la Operación; Fecha de Servicio; Moneda del Tramo; Descripcion; TIPO MORA; Monto en M de Origen; Saldo en Dólares,basesigade 2009-12-31.mdb,12/2009
Saldos,True,498,Saldo en Dolares,145636857594.37503,145636.9,Tipo de Deuda; Nombre de la Operacion; Tipo de Tasa; Moneda del Prestamo; Descripcion; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dolares,basesigade 2009-12-31.mdb,12/2009
Tipo de Cambio,False,16,,,,Fecha; Moneda; Tipo de Cambio; Descripcion,basesigade 2009-12-31.mdb,12/2009
Vencimientos de Deuda a Reestructurar,True,593,Principal en dolares,475868425.472539,475.9,Tipo de Deuda; Nombre de la Operación; Tipo de TAsa; Día; Año; Mes; Moneda de Origen; Descripcion; Fecha de Servicio; Principal en Moneda del Prestamo; Interes en Moneda del Prestamo; Principal en dolares; Interes en dolares,basesigade 2009-12-31.mdb,12/2009
Vencimientos de Deuda en Situacion de Pago Normal,True,11276,Principal en dolares,140398559898.49304,140398.6,Tipo de Deuda; Nombre de la Operacion; Día; Año; Mes; Tipo de Tasa; Moneda de Origen; Descripcion; Fecha de Servicio; Principal en Moneda del Prestamo; Interes en Moneda del Prestamo; Principal en dolares; Interes en dolares,basesigade 2009-12-31.mdb,12/2009
Atrasos,False,10829,Monto en M de Origen,191262625637.72495,191262.6,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Descripcion; Fecha de Servicio; TIPO MORA; Monto en M de Origen; dolares,basesigade 2010-03-31.mdb,03/2010
Deuda no presentada al Canje no Vencida,True,149,SumaDesaldo en dolares,4486313569.512768,4486.3,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Descripcion; Tipo de Tasa; Fecha de Firma; Saldo en Moneda del Prestamo; SumaDesaldo en dolares,basesigade 2010-03-31.mdb,03/2010
Deuda no Presentada al Canje Vencida,True,4276,Monto en M de Origen,41036113879.11489,41036.1,Tipo de Deuda; Nombre de la Operación; Fecha de Servicio; Moneda del Tramo; Descripcion; TIPO MORA; Monto en M de Origen; Monto en Dólares,basesigade 2010-03-31.mdb,03/2010
Saldos,True,486,Saldo en dolares,150156243460.6447,150156.2,Tipo de Deuda; Nombre de la Operacion; Tipo de Tasa; Moneda del Prestamo; Descripcion; Fecha de Firma; Saldo en Moneda de Origen; Saldo en dolares,basesigade 2010-03-31.mdb,03/2010
Tipo de Cambio,False,16,,,,Fecha; Moneda; Descripcion; Tipo de Cambio,basesigade 2010-03-31.mdb,03/2010
Vencimientos de Deuda a Reestructurar,True,570,Principal en dolares,449499717.45381016,449.5,Tipo de Deuda; Nombre de la Operación; Tipo de TAsa; Día; Año; Mes; Moneda de Origen; Descripcion; Fecha de Servicio; Principal en Moneda del Prestamo; Interes en Moneda del Prestamo; Principal en dolares; Interes en dolares,basesigade 2010-03-31.mdb,03/2010
Vencimientos de Deuda en Situación de Pago Normal,True,11112,Principal en dolares,145220430169.6691,145220.4,Tipo de Deuda; Nombre de la Operacion; Día; Año; Mes; Tipo de TAsa; Moneda de Origen; Descripcion; Fecha de Servicio; Principal en Moneda del Prestamo; Interes en Moneda del Prestamo; Principal en dolares; Interes en dolares,basesigade 2010-03-31.mdb,03/2010
Atrasos,False,10497,Monto en Moneda de Origen,171759122868.0763,171759.1,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Descripcion; Fecha de Servicio; TIPO MORA; Monto en Moneda de Origen; dolares,basesigade 2010-06-30.mdb,06/2010
